,node_id,ycoord,xcoord,street_count,ref,highway,geometry
17258,8661924300,35.5377666,129.2380516,3,,,POINT (129.2380516 35.5377666)
17259,8661946517,35.5375242,129.2378072,3,,,POINT (129.2378072 35.5375242)
17260,8661946519,35.5374203,129.2379306,1,,,POINT (129.2379306 35.5374203)
17261,8661946524,35.5342456,129.216869,3,,,POINT (129.216869 35.5342456)
17262,8661946531,35.5345078,129.2174535,3,,,POINT (129.2174535 35.5345078)
17263,8661946576,35.5364214,129.220906,3,,,POINT (129.220906 35.5364214)
17264,8661946658,35.5406654,129.2239771,3,,,POINT (129.2239771 35.5406654)
17265,8661946667,35.5410915,129.2236047,3,,,POINT (129.2236047 35.5410915)
17266,8661946673,35.5406813,129.2240563,1,,,POINT (129.2240563 35.5406813)
17267,8661946676,35.540989,129.2239624,1,,,POINT (129.2239624 35.540989)
17268,8661946858,35.5524203,129.2156817,3,,,POINT (129.2156817 35.5524203)
17269,8661946859,35.5529847,129.2153172,1,,,POINT (129.2153172 35.5529847)
17270,8663875134,35.54784,129.2892499,3,,,POINT (129.2892499 35.54784)
17271,8663892899,35.5552735,129.2740594,3,,,POINT (129.2740594 35.5552735)
17272,8663892919,35.5543471,129.275596,3,,,POINT (129.275596 35.5543471)
17273,8664030559,35.5554243,129.2564822,3,,,POINT (129.2564822 35.5554243)
17274,8664030560,35.5564598,129.2557141,1,,,POINT (129.2557141 35.5564598)
17275,8664030565,35.5560278,129.2554378,3,,,POINT (129.2554378 35.5560278)
17276,8664030567,35.5603229,129.2477921,1,,,POINT (129.2477921 35.5603229)
17277,8664030571,35.5603128,129.2485572,3,,,POINT (129.2485572 35.5603128)
17278,8664030574,35.5598499,129.2489339,1,,,POINT (129.2489339 35.5598499)
17279,8664030575,35.5592803,129.2484729,3,,,POINT (129.2484729 35.5592803)
17280,8664030583,35.5596949,129.2504697,3,,,POINT (129.2504697 35.5596949)
17281,8664030584,35.5598715,129.2487435,3,,,POINT (129.2487435 35.5598715)
17282,8664030586,35.5595096,129.2487474,3,,,POINT (129.2487474 35.5595096)
17283,8664030587,35.5596137,129.2503216,3,,,POINT (129.2503216 35.5596137)
17284,8664030592,35.5588298,129.2505697,3,,,POINT (129.2505697 35.5588298)
17285,8664030593,35.5586854,129.2465583,3,,,POINT (129.2465583 35.5586854)
17286,8664030595,35.5585805,129.2464511,3,,,POINT (129.2464511 35.5585805)
17287,8664030607,35.5602633,129.2435343,1,,,POINT (129.2435343 35.5602633)
17288,8664081445,35.5586108,129.2463512,3,,,POINT (129.2463512 35.5586108)
17289,8664081461,35.5580788,129.2398678,3,,,POINT (129.2398678 35.5580788)
17290,8678395489,35.576096,129.2658892,3,,,POINT (129.2658892 35.576096)
17291,8681802777,35.4707717,129.1735797,3,,,POINT (129.1735797 35.4707717)
17292,8681802796,35.4710003,129.1786223,1,,,POINT (129.1786223 35.4710003)
17293,8735855364,35.5681507,129.1128032,3,,,POINT (129.1128032 35.5681507)
17294,8735855365,35.5680374,129.113079,3,,,POINT (129.113079 35.5680374)
17295,8735855366,35.5677338,129.1132986,1,,,POINT (129.1132986 35.5677338)
17296,8735855369,35.568044,129.1149551,1,,,POINT (129.1149551 35.568044)
17297,8735855370,35.5682677,129.1138955,3,,,POINT (129.1138955 35.5682677)
17298,8735855371,35.5685502,129.1139198,1,,,POINT (129.1139198 35.5685502)
17299,8735855372,35.5681171,129.1143472,3,,,POINT (129.1143472 35.5681171)
17300,8735855373,35.5683974,129.1143329,1,,,POINT (129.1143329 35.5683974)
17301,8758826401,35.5678051,129.1193387,3,,,POINT (129.1193387 35.5678051)
17302,8758826404,35.5668604,129.1191521,3,,,POINT (129.1191521 35.5668604)
17303,8758826405,35.5656922,129.1226869,3,,,POINT (129.1226869 35.5656922)
17304,8758826408,35.5652338,129.1210282,3,,,POINT (129.1210282 35.5652338)
17305,8758826409,35.5648959,129.1224112,3,,crossing,POINT (129.1224112 35.5648959)
17306,8758826411,35.5638009,129.1231286,3,,,POINT (129.1231286 35.5638009)
17307,8758826413,35.5639215,129.1247057,3,,,POINT (129.1247057 35.5639215)
17308,8758844817,35.5649886,129.1223456,3,,,POINT (129.1223456 35.5649886)
17309,8758844839,35.5618306,129.1275543,3,,,POINT (129.1275543 35.5618306)
17310,8758844850,35.5628452,129.1295743,3,,,POINT (129.1295743 35.5628452)
17311,8758844851,35.5618757,129.1291435,3,,,POINT (129.1291435 35.5618757)
17312,8758844852,35.5626024,129.1294664,3,,,POINT (129.1294664 35.5626024)
17313,8758844855,35.5625808,129.1290268,3,,,POINT (129.1290268 35.5625808)
17314,8758844856,35.5624722,129.1294086,3,,,POINT (129.1294086 35.5624722)
17315,8758844857,35.5624375,129.1289637,3,,,POINT (129.1289637 35.5624375)
17316,8758844858,35.5623232,129.1293394,3,,,POINT (129.1293394 35.5623232)
17317,8758844859,35.5622921,129.1288968,3,,,POINT (129.1288968 35.5622921)
17318,8758844860,35.5621797,129.1292766,3,,,POINT (129.1292766 35.5621797)
17319,8758844861,35.5621448,129.128829,3,,,POINT (129.128829 35.5621448)
17320,8758844862,35.5620261,129.1292094,3,,,POINT (129.1292094 35.5620261)
17321,8758844863,35.562172,129.1302931,3,,,POINT (129.1302931 35.562172)
17322,8758844864,35.561941,129.1310433,3,,,POINT (129.1310433 35.561941)
17323,8758844866,35.5617803,129.1310452,3,,,POINT (129.1310452 35.5617803)
17324,8758844867,35.5620257,129.1302267,4,,,POINT (129.1302267 35.5620257)
17325,8758844869,35.5616702,129.1308759,3,,,POINT (129.1308759 35.5616702)
17326,8758844870,35.5615753,129.1306577,3,,,POINT (129.1306577 35.5615753)
17327,8758844872,35.5615906,129.1300294,4,,,POINT (129.1300294 35.5615906)
17328,8758844879,35.5628563,129.1295411,3,,,POINT (129.1295411 35.5628563)
17329,8758844884,35.563811,129.1316305,3,,,POINT (129.1316305 35.563811)
17330,8758844890,35.5644642,129.1297743,4,,,POINT (129.1297743 35.5644642)
17331,8758844891,35.5645212,129.1295887,1,,,POINT (129.1295887 35.5645212)
17332,8758844892,35.5644144,129.1307699,4,,,POINT (129.1307699 35.5644144)
17333,8758844899,35.5647554,129.1310828,3,,,POINT (129.1310828 35.5647554)
17334,8758844903,35.564417,129.1320612,4,,,POINT (129.1320612 35.564417)
17335,8758844904,35.5649778,129.1323841,1,,,POINT (129.1323841 35.5649778)
17336,8758844905,35.5644135,129.1320703,4,,,POINT (129.1320703 35.5644135)
17337,8758844907,35.5628239,129.1357917,1,,,POINT (129.1357917 35.5628239)
17338,8758844908,35.5635844,129.1330523,3,,,POINT (129.1330523 35.5635844)
17339,8758844917,35.5630756,129.1290738,3,,,POINT (129.1290738 35.5630756)
17340,8758844924,35.5627212,129.1322598,3,,,POINT (129.1322598 35.5627212)
17341,8758844926,35.5623957,129.1316096,1,,,POINT (129.1316096 35.5623957)
17342,8758844930,35.5609258,129.1305398,3,,,POINT (129.1305398 35.5609258)
17343,8758844931,35.5612801,129.130582,3,,,POINT (129.130582 35.5612801)
17344,8758844945,35.563152,129.1281168,3,,,POINT (129.1281168 35.563152)
17345,8758844948,35.5634519,129.1282981,3,,,POINT (129.1282981 35.5634519)
17346,8758844986,35.5645416,129.1337518,1,,,POINT (129.1337518 35.5645416)
17347,8763966777,35.3598886,129.3611516,3,,,POINT (129.3611516 35.3598886)
